"","Name","Studios","Score","Popularity","Source"
"64","Bikini Warriors","feel.","5.16",1844,"Other"
"65","Kyojinzoku no Hanayome","Studio Hokiboshi","5.19",3956,"Manga"
"66","Nanatsu no Bitoku","Bridge","5.21",2525,"Other"
"67","Choujigen Kakumei Anime: Dimension High School","Unknown","5.21",5230,"Original"
"68","Barom One","E&G Films","5.22",9336,"Manga"
"69","Litchi DE Hikari Club","Kachidoki Studio","5.22",4851,"Manga"
"70","Tenpou Suikoden Neo","Kachidoki Studio","5.23",10742,"Unknown"
"71","Omae wa Mada Gunma wo Shiranai","Asahi Production","5.23",4540,"Web manga"
"72","Peeping Life","Unknown","5.24",8222,"Original"
"73","Inumarudashi","Gathering","5.24",11645,"Manga"
"74","Kurayami Santa","ILCA","5.24",8335,"Original"
"75","Kowabon","ILCA","5.24",2992,"Original"
"76","Kinniku Banzuke: Kongou-kun no Daibouken!","Studio Pierrot","5.25",12384,"Other"
"77","Chou Shounen Tanteidan Neo","DLE","5.25",8514,"Novel"
"78","Akiba-chan","Unknown","5.26",8888,"Unknown"
"79","Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo","AIC Frontier","5.27",6592,"Original"
"80","Oshiri Kajiri Mushi (TV) 3rd Season","Kinema Citrus","5.27",11879,"Music"
"81","Scared Rider Xechs","Satelight","5.27",3787,"Visual novel"
"82","Nobunaga-sensei no Osanazuma","Seven","5.27",2089,"Manga"
"83","Wild 7 Another Bouryaku Unga","Unknown","5.28",11158,"Manga"
"84","Bakugan: Armored Alliance","TMS Entertainment","5.29",9240,"Original"
"85","Diabolik Lovers","Zexcs","5.3",590,"Visual novel"
"86","Soukou Musume Senki","Studio A-CAT","5.3",5222,"Game"
"87","Shironeko Project: Zero Chronicle","Project No.9","5.3",2048,"Game"
"88","Doamaiger D","ILCA","5.32",9428,"Original"
"89","Makeruna!! Aku no Gundan!","Tatsunoko Production","5.32",9333,"Manga"
"90","Abciee Shuugyou Nikki","Fanworks","5.32",9713,"Other"
"91","MapleStory","Madhouse","5.33",6902,"Game"
"92","Alice or Alice","EMT Squared","5.33",2976,"4-koma manga"
"93","WIXOSS Diva(A)Live","J.C.Staff","5.33",6030,"Card game"
"94","Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV","AIC Frontier","5.34",7987,"Unknown"
"95","Oshiri Kajiri Mushi (TV) 2nd Season","Kinema Citrus","5.34",11436,"Music"
"96","Oshiri Kajiri Mushi (TV) 4th Season","Kinema Citrus","5.34",12386,"Music"
"97","Rebirth","LIDENFILMS","5.34",7738,"Card game"
"98","Unko-san: Tsuiteru Hito ni Shika Mienai Yousei","Kachidoki Studio","5.35",11544,"Original"
"99","Onigiri","Pierrot Plus","5.35",3225,"Game"
"100","Hand Shakers","GoHands","5.35",1564,"Original"
"101","Ulysses: Jehanne Darc to Renkin no Kishi","AXsiZ","5.35",1755,"Light novel"
"102","Lord of Vermilion: Guren no Ou","Asread, Tear Studio","5.35",2760,"Game"
"103","SD Gundam Force","Sunrise","5.36",5587,"Original"
"104","Venus Project: Climax","Nomad","5.36",5916,"Game"
"105","Dappys","DLE","5.36",10624,"Original"
"106","Yodel no Onna","DLE","5.36",10127,"Original"
"107","Netsuzou TRap","Creators in Pack","5.37",1271,"Manga"
"108","Hatena☆Illusion","Children's Playground Entertainment","5.37",2997,"Light novel"
"109","Minarai Diva","Yaoyorozu","5.38",9596,"Original"
"110","Dies Irae","A.C.G.T.","5.38",1272,"Visual novel"
"111","Idol Memories","Seven Arcs Pictures","5.38",5487,"Original"
"112","Skirt no Naka wa Kedamono Deshita.","Magic Bus","5.38",2477,"Manga"
"113","Isekai Cheat Magician","Encourage Films","5.38",781,"Light novel"
"114","Listeners","MAPPA","5.38",2282,"Original"
"115","Majuu Sensen: The Apocalypse","Unknown","5.39",9005,"Manga"
"116","Charady no Joke na Mainichi","Unknown","5.39",8597,"Original"
"117","Urawa no Usagi-chan","A-Real","5.39",4362,"Original"
"118","Watashitachi, Luck Logic-bu!","Doga Kobo","5.39",7144,"Card game"
"119","Nora to Oujo to Noraneko Heart","W-Toon Studio, DMM.futureworks","5.39",2653,"Visual novel"
"120","Saiko Robot Kombock","Unknown","5.4",7362,"Unknown"
"121","Big Order (TV)","Asread","5.4",841,"Manga"
"122","Märchen Mädchen","Hoods Entertainment","5.4",2727,"Light novel"
"123","Yu☆Gi☆Oh!: Sevens","Bridge","5.4",4564,"Card game"
"124","Wagamama High Spec","AXsiZ","5.41",2979,"Visual novel"
"125","Clione no Akari","drop","5.41",4472,"Novel"
"126","Hakyuu Houshin Engi","C-Station","5.41",3865,"Manga"
"127","Haja Kyosei G Dangaiou","Unknown","5.42",8374,"Unknown"
"128","Suzakinishi The Animation","feel.","5.42",6786,"Radio"
"129","Virtual-san wa Miteiru","Lide","5.42",5798,"Original"
"130","Garugaku.: Sei Girls Square Gakuin","OLM, Wit Studio","5.42",9775,"Game"
"131","Anitore! EX","Rising Force","5.43",3115,"Original"
"132","Cutie Honey Universe","Production Reed","5.43",4065,"Manga"
"133","Happy Kappy","Unknown","5.44",10309,"Unknown"
"134","Glasslip","P.A. Works","5.44",1021,"Original"
"135","Duel Masters VSRF","Studio Hibari","5.44",10295,"Original"
"136","Cheating Craft","Blade","5.44",2142,"Novel"
"137","Kara The Animation","Unknown","5.45",10535,"Unknown"
"138","Ikeike! Momon-chan","Unknown","5.45",11333,"Original"
"139","Shuudengo, Capsule Hotel de, Joushi ni Binetsu Tsutawaru Yoru.","Suiseisha","5.45",4238,"Manga"
"140","Ozmafia!!","Creators in Pack","5.46",3892,"Visual novel"
"141","Shoumetsu Toshi","Madhouse","5.46",2178,"Game"
"142","Bermuda Triangle: Colorful Pastrale","Seven Arcs Pictures","5.46",5747,"Original"
"143","Virus: Virus Buster Serge","J.C.Staff","5.47",7409,"Game"
"144","Cream Lemon: Lemon Angel","Unknown","5.47",8059,"Other"
"145","Sparrow's Hotel","Hotline","5.47",5114,"4-koma manga"
"146","Basilisk: Ouka Ninpouchou","Seven Arcs Pictures","5.47",3009,"Manga"
"147","Amai Choubatsu: Watashi wa Kanshu Senyou Pet","Magic Bus","5.47",3537,"Web manga"
"148","Aguu: Tensai Ningyou","Studio Deen","5.48",6020,"Web manga"
"149","Mini Moni the TV","Unknown","5.49",12202,"Unknown"
"150","Francesca","Telecom Animation Film","5.49",5186,"Original"
"151","Tomica Kizuna Gattai: Earth Granner","OLM","5.49",10759,"Other"
"152","Double-J","DLE","5.5",4777,"Manga"
"153","Naikaku Kenryoku Hanzai Kyousei Torishimarikan Zaizen Joutarou","Trans Arts","5.51",10055,"Manga"
"154","Onara Gorou","ILCA","5.51",4737,"Original"
"155","Bloodivores","Creators in Pack, Namu Animation","5.51",1610,"Web manga"
"156","Peter Grill to Kenja no Jikan","Wolfsbane","5.51",1288,"Manga"
"157","Project Scard: Praeter no Kizu","GoHands","5.51",3878,"Other"
"158","Lime-iro Ryuukitan X","A.C.G.T.","5.52",7316,"Visual novel"
"159","Baby Felix","Radix","5.52",12202,"Unknown"
"160","Lance N' Masques","Studio Gokumi","5.52",2391,"Light novel"
"161","Next Senki Ehrgeiz","Studio Deen","5.53",10329,"Original"
"162","Mayoiga","Diomedéa","5.53",787,"Original"
"163","Rinshi!! Ekoda-chan","Ascension, Creators in Pack, Zero-G","5.53",5127,"4-koma manga"
"164","Hit wo Nerae!","Imagin, Studio Live","5.54",6349,"Original"
"165","25-sai no Joshikousei","Lilix","5.54",2982,"Web manga"
"166","W'z","GoHands","5.54",3665,"Original"
"167","Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka?","J.C.Staff","5.54",834,"Light novel"
"168","Hortensia Saga (TV)","LIDENFILMS","5.54",3042,"Game"
"169","Duel Masters VSR","Ascension","5.55",10425,"Original"
"170","Pikotarou no Lullaby Lullaby (TV)","DLE","5.55",6817,"Original"
"171","Glass no Kamen Desu ga","DLE","5.56",10013,"Unknown"
"172","Funny Pets 2nd Season","Unknown","5.56",13258,"Original"
"173","Devidol!","Unknown","5.56",8828,"Other"
"174","Koroshiya-san: The Hired Gun","Opera House","5.57",5903,"4-koma manga"
"175","One Room","Typhoon Graphics","5.57",1539,"Original"
"176","Bakugan: Battle Planet","TMS Entertainment","5.57",7239,"Original"
"177","Business Fish","Unknown","5.57",7821,"Original"
"178","Hagane Orchestra","Fanworks","5.58",6858,"Game"
"179","Tachibanakan Triangle","Creators in Pack, Studio Lings","5.58",2254,"Manga"
"180","King's Raid: Ishi wo Tsugumono-tachi","OLM, Sunrise Beyond","5.58",2515,"Game"
"181","Eternity: Shinya no Nurekoi Channel ♡","Seven","5.58",7027,"Manga"
"182","Momo Kyun Sword","Project No.9, Tri-Slash","5.59",3036,"Light novel"
"183","47 Todoufuken","Pollyanna Graphics","5.59",12846,"Original"
"184","Q Transformers: Kaette Kita Convoy no Nazo","DLE","5.59",10790,"Unknown"
"185","Omiai Aite wa Oshiego, Tsuyoki na, Mondaiji.","Seven","5.59",2318,"Digital manga"
"186","ARP Backstage Pass","Dynamo Pictures","5.59",6485,"Other"
"187","Pacusi","Unknown","5.6",12683,"Unknown"
"188","Oyako Club","Eiken","5.6",11257,"Original"
"189","Divine Gate","Studio Pierrot","5.6",1030,"Game"
"190","Hatsukoi Monster","Studio Deen","5.61",1582,"Manga"
"191","Ookami-san wa Taberaretai","Peak Hunt","5.61",4891,"Manga"
"192","High Score","DLE","5.62",5649,"4-koma manga"
"193","AWOL","Studio Deen","5.62",10597,"Original"
"194","Mazinger ZIP!","Kate Arrow","5.62",11112,"Unknown"
"195","Meshimase Lodoss-tou Senki: Sorette Oishii no?","Studio Deen, Studio Hibari","5.62",8765,"Unknown"
"196","Pan de Peace!","Asahi Production","5.62",3094,"4-koma manga"
"197","Anitore! XX: Hitotsu Yane no Shita de","Rising Force","5.62",4453,"Original"
"198","Hei Mao Jing Zhang","Shanghai Animation Film Studio","5.62",12953,"Original"
"199","UG☆Ultimate Girls","Studio Matrix","5.63",5317,"Original"
"200","Otona nya Koi no Shikata ga Wakaranee!","Ether Kitten","5.63",5079,"Manga"
"201","Shokupan Mimi","Kachidoki Studio","5.64",9731,"4-koma manga"
"202","Kakko Kawaii Sengen!","Unknown","5.64",10137,"Original"
"203","Seisen Cerberus: Ryuukoku no Fatalités","Bridge","5.64",1593,"Game"
"204","Marvel Future Avengers","Madhouse","5.64",7769,"Other"
"205","Butlers: Chitose Momotose Monogatari","SILVER LINK.","5.64",3586,"Original"
"206","Sore dake ga Neck","Toho Interactive Animation","5.64",6638,"Original"
"207","Jikuu Tenshou Nazca","Genco, Radix","5.65",6289,"Manga"
"208","Misute♡naide Daisy","Studio Deen","5.65",9914,"Manga"
"209","Firestorm","Trans Arts","5.65",10177,"Original"
"210","Go! Go! 575","C2C, Lay-duce","5.65",4847,"Game"
"211","Endride","Brain's Base","5.65",1968,"Original"
"212","Two Car","SILVER LINK.","5.65",3703,"Original"
"213","Diabolik Lovers More,Blood","Zexcs","5.66",1366,"Visual novel"
"214","Chaos Dragon: Sekiryuu Seneki","SILVER LINK., Connect","5.66",1439,"Game"
"215","Jingai-san no Yome","Saetta","5.66",2954,"4-koma manga"
"216","Kandagawa Jet Girls","TNK","5.66",3217,"Original"
"217","Guraburu!","W-Toon Studio, DMM.futureworks","5.66",5050,"4-koma manga"
"218","Platonic Chain","Unknown","5.67",8434,"Novel"
"219","Shin Seiki Den Mars","Unknown","5.67",10336,"Manga"
"220","Beast Saga","SynergySP","5.67",9845,"Unknown"
"221","Chiruran: Nibun no Ichi","LandQ studios","5.67",5728,"Manga"
"222","Sono Toki, Kanojo wa.","MASTER LIGHTS","5.67",4418,"Original"
"223","School Days","TNK","5.68",225,"Visual novel"
"224","Uchurei!","Robot Communications","5.68",10162,"Unknown"
"225","Sekai Monoshiri Ryoko","Unknown","5.68",12131,"Unknown"
"226","Larva","Unknown","5.68",10453,"Original"
"227","Peeping Life TV: Season 1??","Tatsunoko Production, CoMix Wave Films, FOREST Hunting One","5.68",8562,"Unknown"
"228","Idol Jihen","MAPPA, Studio VOLN","5.68",4543,"Original"
"229","Sora to Umi no Aida","TMS Entertainment","5.68",3828,"Game"
"230","Anisava","TMS Entertainment, DLE","5.69",11742,"Unknown"
"231","Sin: Nanatsu no Taizai","Artland, TNK","5.69",1285,"Other"
"232","Ku Pao Ying Xiong","B.CMAY PICTURES","5.69",7613,"Game"
"233","Kaitou Reinya","Stingray","5.7",7806,"4-koma manga"
"234","RErideD: Tokigoe no Derrida","GEEK TOYS","5.7",2710,"Original"
"235","Z/X: Code Reunion","Passione","5.7",4810,"Card game"
"236","Stand My Heroes: Piece of Truth","M.S.C","5.7",3849,"Game"
"237","Bakumatsu: Crisis","Studio Deen","5.7",4929,"Game"
"238","Alexander Senki","Madhouse","5.71",5843,"Novel"
"239","Aquarion Logos","Satelight","5.72",3692,"Original"
"240","Battery","Zero-G","5.72",2382,"Novel"
"241","100% Pascal-sensei (TV)","OLM","5.72",8585,"Manga"
"242","Schoolgirl Strikers: Animation Channel","J.C.Staff","5.72",3867,"Game"
"243","Himote House","Bouncy","5.72",4251,"Original"
"244","Dogeza de Tanondemita","DMM pictures","5.72",2827,"Web manga"
"245","Pugyuru","Creators Dot Com","5.73",7185,"Unknown"
"246","Paris no Isabelle","DAX Production","5.73",10957,"Original"
"247","Gon","Daewon Media","5.73",9556,"Manga"
"248","Fuuun Ishin Dai☆Shogun","J.C.Staff, A.C.G.T.","5.73",3408,"Original"
"249","Yami Shibai 4","ILCA","5.73",3616,"Original"
"250","Duel Masters (2017)","Ascension","5.73",9732,"Original"
"251","Tamayomi","Studio A-CAT","5.73",3302,"Manga"
"252","A-jang.com","Unknown","5.74",11990,"Unknown"
"253","Nar Doma","Kachidoki Studio","5.74",8319,"Web manga"
"254","Dokyuu Hentai HxEros","Project No.9","5.74",1693,"Manga"
"255","Babel Nisei (2001)","Vega Entertainment","5.75",7982,"Manga"
"256","Q Transformers: Saranaru Ninki Mono e no Michi","DLE","5.75",11754,"Other"
"257","Shounen Ashibe: Go! Go! Goma-chan 3","Bridge, Husio Studio","5.75",11753,"4-koma manga"
"258","Hyakuren no Haou to Seiyaku no Valkyria","EMT Squared","5.75",1162,"Light novel"
"259","Gundam: G no Reconguista","Sunrise","5.76",3269,"Original"
"260","Gekidol","Hoods Entertainment","5.76",5220,"Original"
"261","Fireball Humorous","Jinnis Animation Studios","5.76",8048,"Original"
"262","Joshikausei","Seven","5.76",2457,"Web manga"
"263","Sweet Valerian","Madhouse","5.77",8339,"Original"
"264","Bihada Ichizoku","Unknown","5.77",7110,"Original"
"265","Saa Ikou! Tamagotchi","OLM","5.77",10923,"Unknown"
"266","Shiba Inuko-san","Hotline","5.77",5217,"Manga"
"267","Mahou Shoujo Taisen","Gainax","5.77",4096,"Other"
"268","Monoshiri Daigaku: Ashita no Calendar","Unknown","5.77",12362,"Original"
"269","Bakumatsu","Studio Deen","5.77",3766,"Game"
"270","Ginsoukikou Ordian","Plum","5.78",8447,"Original"
"271","World Fool News (TV) Part II","Unknown","5.78",10577,"Other"
"272","Majutsushi Orphen Hagure Tabi","Studio Deen","5.78",2296,"Light novel"
"273","Maesetsu!","Studio Gokumi, AXsiZ","5.78",5206,"Original"
"274","Boku no Imouto wa ""Osaka Okan""","Charaction","5.79",3884,"Original"
"275","Taboo Tattoo","J.C.Staff","5.79",679,"Manga"
"276","Urahara","Shirogumi, EMT Squared","5.79",2979,"Web manga"
"277","Gun-dou Musashi","ACC Production","5.8",5971,"Original"
"278","Hoka Hoka Kazoku","Eiken","5.8",11852,"Unknown"
"279","Shinseiki Duel Masters Flash","SynergySP","5.8",11707,"Original"
"280","Futari wa Milky Holmes","J.C.Staff","5.8",5057,"Original"
"281","Usakame","Millepensee","5.8",4845,"Manga"
"282","Koi Koi 7","Studio Flag","5.81",4273,"Manga"
"283","Lemon Angel (1988)","Unknown","5.81",9839,"Unknown"
"284","Lemon Angel (1988/II)","Unknown","5.81",10319,"Unknown"
"285","Sekai de Ichiban Tsuyoku Naritai!","Arms","5.81",2449,"Manga"
"286","Oscar's Oasis","TUBA","5.81",11665,"Unknown"
"287","Soul Buster","Studio Pierrot","5.81",3705,"Manga"
"288","Boruto: Naruto Next Generations","Studio Pierrot","5.81",223,"Manga"
"289","Fairy Gone","P.A. Works","5.81",1103,"Original"
"290","Shin Sakura Taisen the Animation","SANZIGEN","5.81",4335,"Game"
"291","Back Arrow","Studio VOLN","5.81",3574,"Original"
"292","Kikou Sennyo Rouran","Zexcs","5.82",9323,"Original"
"293","Aesop's World","Sunrise","5.82",12155,"Unknown"
"294","Duel Masters Victory","Unknown","5.82",10214,"Original"
"295","Kirin Monoshiri Yakata","Unknown","5.82",12523,"Unknown"
"296","Military!","Creators in Pack","5.82",2778,"4-koma manga"
"297","Saredo Tsumibito wa Ryuu to Odoru","Seven Arcs Pictures","5.82",2352,"Light novel"
"298","Super Milk-chan","Unknown","5.83",7255,"Unknown"
"299","Battle Spirits: Double Drive","Bandai Namco Pictures","5.83",10105,"Card game"
"300","Evil or Live","Haoliners Animation League","5.83",1964,"Web manga"
"301","G-On Riders","Shaft, TNK","5.84",7189,"Original"
"302","Don Chuck Monogatari","Unknown","5.84",11042,"Original"
"303","Geisters: Fractions of the Earth","Unknown","5.84",9973,"Original"
"304","Choboraunyopomi Gekijou Ai Mai Mii","Seven","5.84",3182,"4-koma manga"
"305","Battle Girl High School","SILVER LINK.","5.84",3596,"Game"
"306","Natsunagu!","IMAGICA Lab.","5.84",3684,"Original"
"307","Duel Masters","Studio Hibari","5.85",3682,"Manga"
"308","Kakko Kawaii Sengen! 2","Unknown","5.85",11463,"Manga"
"309","Chokkyuu Hyoudai Robot Anime: Straight Title","Bouncy","5.85",8708,"Unknown"
"310","Mangirl!","Doga Kobo","5.86",3100,"Manga"
"311","Gaist Crusher","Studio Pierrot","5.86",8818,"Game"
"312","Baku Tech! Bakugan Gachi","Unknown","5.86",9242,"Unknown"
"313","Onsen Yousei Hakone-chan","Production Reed, Asahi Production","5.86",3207,"Web manga"
"314","Comet Lucifer","8bit","5.86",1431,"Original"
"315","Youkai Ningen Bem (2006)","Studio Comet","5.87",8428,"Unknown"
"316","Yuusei Shounen Papii","Eiken","5.87",11768,"Unknown"
"317","Kyouryuu Tankentai Born Free","Sunrise","5.87",11408,"Unknown"
"318","Dibetagurashi: Ahiru no Seikatsu","Unknown","5.87",10878,"Unknown"
"319","Shounen Ashibe: Go! Go! Goma-chan 2","Bridge, Husio Studio","5.87",10718,"4-koma manga"
"320","Kemono Friends 2","Tomason","5.87",4332,"Game"
"321","Shachou, Battle no Jikan Desu!","C2C","5.87",3222,"Game"
"322","Gasshin Sentai Mechander Robo","Unknown","5.88",11405,"Unknown"
"323","Penguin no Mondai","Shogakukan Music & Digital Entertainment","5.88",11508,"Manga"
"324","Time Bokan Series: Gyakuten Ippatsuman","Tatsunoko Production","5.88",11007,"Unknown"
"325","Hello Kitty: Ringo no Mori no Fantasy","Asahi Production","5.88",11961,"Unknown"
"326","Duel Masters Victory V3","Unknown","5.88",10721,"Original"
"327","Fushigi na Somera-chan","Seven","5.88",4609,"4-koma manga"
"328","Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari","Production IMS, Orange","5.88",2167,"Original"
"329","Ba La La Xiao Mo Xian Zhi: Qiji Wubu","Unknown","5.88",11381,"Original"
"330","Piace: Watashi no Italian","Zero-G","5.88",4291,"Web manga"
"331","Hulaing Babies","Gaina","5.88",7568,"Original"
"332","Ore no Yubi de Midarero.: Heitengo Futarikiri no Salon de...","Magic Bus","5.88",3810,"Manga"
"333","Kakyuusei 2: Hitomi no Naka no Shoujo-tachi","Arms","5.89",6442,"Visual novel"
"334","Ryuusei Sentai Musumet","TNK","5.89",8470,"Unknown"
"335","Sukima no Kuni no Polta","Unknown","5.89",13128,"Unknown"
"336","Akubi Girl","Tatsunoko Production","5.89",11350,"Unknown"
"337","Mighty Orbots","Tokyo Movie Shinsha","5.89",11791,"Original"
"338","Rio: Rainbow Gate!","Xebec","5.89",2772,"Other"
"339","Garo: Guren no Tsuki","MAPPA","5.89",3169,"Original"
"340","Time Bokan 24","Tatsunoko Production","5.89",6979,"Original"
"341","Twin Angel Break","J.C.Staff","5.89",4735,"Game"
"342","Sengoku Choujuu Giga: Kou","ILCA","5.89",6195,"Original"
"343","Val x Love","Hoods Entertainment","5.89",1977,"Manga"
"344","Kashi no Ki Mokku","Tatsunoko Production","5.9",9682,"Unknown"
"345","Minna Atsumare! Falcom Gakuen","Unknown","5.9",6674,"4-koma manga"
"346","DD Hokuto no Ken 2 Ichigo Aji+","Ajia-Do","5.9",7853,"Manga"
"347","Yume Oukoku to Nemureru 100-nin no Ouji-sama","Project No.9","5.9",4216,"Game"
"348","Asatir: Mirai no Mukashi Banashi","Toei Animation","5.9",7997,"Original"
"349","Avenger","Bee Train, Xebec","5.91",4073,"Original"
"350","Love♥Love?","Imagin, Studio Live","5.91",3713,"Original"
"351","Marginal Prince: Gekkeiju no Ouji-tachi","Unknown","5.91",4539,"Visual novel"
"352","Eightman","Nippon Animation","5.91",9890,"Manga"
"353","Ishida to Asakura","Unknown","5.91",4448,"Manga"
"354","Marvel Disk Wars: The Avengers","Toei Animation","5.91",5716,"Unknown"
"355","Oreca Battle","Xebec, OLM","5.91",8547,"Unknown"
"356","Sengoku Choujuu Giga: Otsu","ILCA","5.91",8210,"Original"
"357","gdMen","Strawberry Meets Pictures","5.91",8356,"Original"
"358","Gunparade Orchestra","Brain's Base","5.92",7067,"Game"
"359","Nessa no Haou Gandalla","Production Reed","5.92",9765,"Original"
"360","Duel Masters VS","Ascension","5.92",10679,"Original"
"361","Duel Masters!","Ascension","5.92",10605,"Original"
"362","Divergence Eve","Radix","5.93",4777,"Original"
"363","Ultraviolet: Code 044","Madhouse","5.93",6128,"Other"
"364","Kantoku Fuyuki Todoki","DLE","5.93",5997,"Manga"
"365","Heybot!","Bandai Namco Pictures","5.93",9099,"Original"
"366","Yami Shibai 7","ILCA","5.93",4577,"Original"
"367","Time Bokan Series: Itadakiman","Tatsunoko Production","5.94",11336,"Unknown"
"368","Yobarete Tobidete Akubi-chan","Tatsunoko Production","5.94",11645,"Unknown"
"369","Time Bokan 2000: Kaitou Kiramekiman","Tatsunoko Production","5.94",11315,"Unknown"
"370","Marie & Gali ver. 2.0","Toei Animation","5.94",10809,"Original"
"371","Himegoto","Asahi Production","5.94",1448,"4-koma manga"
"372","Girlfriend (Kari)","SILVER LINK.","5.94",2667,"Game"
"373","Mahou Shoujo Nante Mou Ii Desukara.","Pine Jam","5.94",3491,"Web manga"
"374","Assassins Pride","EMT Squared","5.94",680,"Light novel"
"375","Vlad Love","Production I.G, Drive","5.94",3434,"Original"
"376","Porong Porong Pororo","Unknown","5.95",12172,"Unknown"
"377","Duel Masters Victory V","Unknown","5.95",10847,"Original"
"378","Nurse Witch Komugi-chan R","Tatsunoko Production","5.95",4770,"Original"
"379","Seihou Tenshi Angel Links","Sunrise","5.96",5534,"Novel"
"380","Time Bokan Series: Zenderman","Tatsunoko Production","5.96",11263,"Unknown"
